ID jeu PK FK;Genre du jeu PK FK
1;RPG
2;Aventure
3;Action
3;Aventure
4;Action
4;Course
5;Aventure
6;Action
7;Aventure
8;Aventure
9;RPG
10;Aventure
11;Aventure
11;Arcade
12;Mystère
13;Aventure
14;Sport
14;2 Joueurs
15;Tennis
15;Sport
15;2 Joueurs
16;Aventure
16;Action
17;Action
18;Action
19;Plates-formes
19;Plateformes
20;Action
20;RPG
21;Aventure
22;Aventure
22;Action
23;Aventure
24;Action
24;Aventure
25;Tennis
25;Sport
25;Multijoueur
26;Shoot'em up
26;Action
26;Arcade
26;Shooter
26;Multijoueur
27;Aventure
27;Point and Click
27;RPG
28;Aventure
28;Action
29;Course
29;Action
30;Sport
30;Football
31;Plates-formes
31;Plateformes
32;Plates-formes
32;Plateformes
32;Educatif
33;Aventure
33;Point and Click
34;Course
34;Formule 1
35;RPG
35;Aventure
36;Aventure
36;Educatif
37;Course
38;Simulation
38;Action
38;Aventure
39;Action
39;RPG
40;Action
40;Multijoueur
41;Course
41;Formule 1
41;Simulation
42;Aventure
43;Course
44;Course
44;Multijoueur
45;Multijoueur
45;Gestion
45;Stratégie en temps réel
46;FPS
46;Tactique
46;Multijoueur
47;Tennis
47;Sport
47;Multijoueur
48;Action
48;Arcade
49;Puzzle
49;Hasard
49;Société
50;Action
50;Aventure
51;Formule 1
51;Course
52;Plates-formes
52;Plateformes
53;FPS
53;Action
53;Multijoueur
54;Plateformes
54;Plates-formes
55;Course
56;FPS
56;Tactique
56;Multijoueur
57;Plateformes
57;Plates-formes
58;Aventure
58;Equitation
58;Sport
59;Action
59;Aventure
60;Aventure
60;RPG
61;Action
61;Simulation
61;TPS
62;Beat them all
63;Plates-formes
64;Course
65;Combat motorise
66;Aventure
67;Course
67;Simulation
70;Strategie
71;Aventure
71;Equitation
71;Sport
72;Action
72;Plates-formes
73;Stratégie en temps réel
74;Action
75;Gestion
76;Stratégie en temps réel
77;Stratégie en temps réel
78;RPG
78;Aventure
79;Aventure
79;Plates-formes
79;Action
80;Combat Aérien
81;Aventure
82;RPG
83;Party game
84;Gestion
84;Stratégie en temps réel
85;Tir
85;Tactique
86;Aventure
86;Sport
87;Plateformes
87;Plates-formes
88;Echecs
89;Simulation
89;Multijoueur
90;Plateformes
90;Plates-formes
91;Action
91;Aventure
92;RPG
93;Tir
93;Tactique
94;Aventure
94;Point and Click
95;Action
95;Aventure
96;Aventure
96;Point and Click
96;Myst-like
97;Boxe
98;Scrabble
99;Infiltration
99;Action
99;TPS
100;Stratégie tour par tour
100;Multijoueur
101;Beat them all
102;Aventure
102;Infiltration
102;Course
104;RPG
105;Aventure
106;Aventure
106;Investigation
107;Aventure
108;Avion
109;Plateformes
109;Plates-formes
110;Multijoueur
110;MMORPG
111;Multijoueur
111;Stratégie tour par tour
111;Guerre
112;Multijoueur
112;FPS
113;FPS
113;Multijoueur
114;Course
115;Action
115;Plates-formes
115;Plateformes
116;Action
116;Aventure
117;Beat them all
117;Multijoueur
118;Multijoueur
118;Aventure
118;Sport
119;Multijoueur
119;Stratégie en temps réel
120;Party game
120;Multijoueur
121;Course
121;Multijoueur
122;Echecs
123;FPS
123;Multijoueur
124;Aventure
125;Aventure
125;Investigation
126;Aventure
127;Avion
127;Multijoueur
128;Action
128;Plateformes
128;Plates-formes
129;Boxe
129;Multijoueur
130;Scrabble
130;Réflexion
131;Action
131;Course
131;Multijoueur
132;Aventure
132;Point and Click
133;Aventure
133;Dating Simulation
134;Plateformes
134;Plates-formes
135;Tir
135;Tactique
136;FPS
136;Tactique
137;Infiltration
137;Multijoueur
138;Aventure
138;Multijoueur
139;Course
139;Multijoueur
140;Aventure
140;Sport
140;Multijoueur
141;FPS
141;Tactique
141;Multijoueur
142;FPS
142;Multijoueur
143;FPS
144;Gestion
144;Animaux
145;Action
145;Aventure
145;Survie
145;Horreur
146;Gestion
146;Animaux
147;Beat them all
148;Réflexion
149;FPS
149;Multijoueur
150;Sport
150;2 Joueurs
151;Avion
151;Combat Aérien
152;Stylisme
153;Action
153;Aventure
154;Aventure
155;Aventure
156;RPG
157;Action
157;Aventure
157;Beat them all
158;Simulation
158;Economique
159;Action
159;Plates-formes
159;Plateformes
160;Plateformes
160;Action
160;Plates-formes
161;Plateformes
161;Plates-formes
162;Simulation
162;Sous-marin
163;2 Joueurs
163;Action
163;Aventure
164;Gestion
164;Stratégie en temps réel
164;Multijoueur
165;FPS
165;Tactique
166;Infiltration
166;Multijoueur
167;Plates-formes
167;Plateformes
168;Action
168;Puzzle
169;Puzzle
