ID jeu PK FK;Studio PK FK
1;Ubisoft
2;Ubisoft
3;Ubisoft
4;Ubisoft
5;Ubisoft
6;Ubisoft
7;Ubisoft
8;Ubisoft
9;Ubisoft
10;Ubisoft
11;Ubisoft
12;Ubisoft
13;Ubisoft
14;Ubisoft
15;Blue Byte Software
16;Ubisoft
17;Ubisoft
18;Ubisoft
19;Blue Byte Software
20;Power Concept
21;Computer's Dream
22;Ubisoft
23;Ubisoft
24;Ordilogic Systems
25;Blue Byte Software
26;Ubisoft
27;Computer's Dream
28;Tiertex
28;NMS Software
29;Vivid Image
30;Ludi Media
31;Ubisoft Montpellier
31;Ludi Media
31;Ubisoft Milan
32;Ubisoft
33;Humongous
34;Human Entertainment
35;Game Arts
36;Ubisoft
37;Ubisoft
38;Criterion Games
39;Silmarils
40;Argonaut Games
41;Ubisoft Bucharest
41;Ubisoft
42;Ubisoft Montréal
42;Planet Ineractive
43;Criterion Games
44;Vivid Image
45;Blue Byte Software
46;Red Storm Entertainment
47;Smart Dog
48;Drago Entertainment
49;Landwarf
50;Playmobil Interactive
51;Ubisoft
52;Ubisoft Montpellier
52;Ubisoft Milan
52;Ubisoft Paris
52;Ubisoft Shangaï
52;Ubisoft Annecy
53;Cyclone Studios
54;Sucker Punch Productions
55;Ubisoft
56;Ubisoft Milan
56;Red Storm Entertainment
57;Ubisoft Montréal
57;RFX Interactive
58;Midas Interactive Entertainment
59;Red Storm Entertainment
60;Westka Interactive
61;From Software
62;Kemco
63;Ubisoft Montréal
63;Ubisoft Milan
63;Disney Interactive
64;Ubisoft Shanghai
64;Ubisoft Italy
65;Frontier Developments
66;Ubisoft Montréal
67;Ubisoft Barcelone
69;Ubisoft Milan
69;Ubisoft Annecy
69;Ubisoft Paris
69;Ubisoft Shanghai
70;Strategic Studies Group
71;Midas Interactive Entertainment
72;Ubisoft Montréal
72;Ubisoft Shanghai
73;Crave entertainment
73;Ubisoft Entertainment
74;Planet Interactive
75;Enlight Software
76;MASA Group
77;Fever Pitch Studios
78;Ubi Studios UK
79;In Utero
80;Ubisoft
81;Presto Studios
82;Stormfront Studios
83;Ubisoft Montreuil
83;Ubisoft Milan
84;Blue Byte Software
85;Red storm
86;DICE
87;SCE Japan Studio
88;Ubisoft Romania
88;Zonic Limited
89;Strategic Simulations Incorporation
89;Ubisoft
90;Ubisoft Montréal
91;Dragonstone Software
92;Game Arts
92;Rocket Studio
92;SkyBox Labs
93;Red Storm Entertainment
93;Craxfish Interactive
94;Ubisoft
95;Rebellion
96;Cyan World
97;Rage Software
98;Runecraft
99;Ubisoft Montréal
100;SSG
101;Ubisoft Montréal
102;Ubisoft Montpellier
102;Ubisoft Milan
102;Ubisoft Shanghai
104;Sting entertainment
105;369 Interactive
106;Lexis Numérique
107;Lexis Numérique
108;Eagle Dynamics
109;Ubisoft Paris
109;Ubisoft Shanghai
110;Wolfpack Studios
110;Stray Bullet Games
111;Infinite Interactive
112;Saber Interactive
113;Ubisoft Paris
114;Ubisoft Barcelone
115;Ubisoft Montréal
115;Ubisoft
116;Genki
116;Bergsala Lightweight
117;Treasure
118;Lexus Numérique
119;GSC Game World
120;SCE Japan Studio
121;Ubisoft
122;Ubisoft Bucarest
123;Crytek
124;Lexis Numérique
125;369 Interactive
126;Ubisoft Montréal
127;Maddox Games
128;Ubisoft Montréal
129;Venom Games
129;MGM Interactive
130;Ubisoft
131;Midway Studio
131;Ratbag Games
132;Frogwares
133;Longtail Studio
134;Ubisoft Montréal
135;Red Storm Entertainment
136;Red Storm Entertainment
136;Ubisoft Montréal
136;Ubisoft Milan
136;Ubisoft Casablanca
137;Ubisoft Shangaï
137;Ubisoft Milan
137;Ubisoft Annecy
138;Cyan World
139;Ubisoft Paris
140;Lexis Numérique
141;US Army
141;Secret Level
142;Gearbox Software
143;Gearbox Software
144;Powerhead Games
145;Darkworks
146;MTO
147;Cavia
148;Taito
148;Moss
149;Ubisoft Montréal
150;Behaviour Interactive
151;Transmission Games
152;Ubisoft
153;Ubisoft Montpellier
153;Ubisoft Milan
153;Ubisoft Casablanca
153;Phoenix Studio
154;369 Interactive
154;Ubisoft
155;Cyan World
156;Game Arts
157;Capcom
158;Cyberlore Studios
159;Ubisoft Casablanca
159;Ubisoft Montréal
160;Ubisoft Montréal
161;Digital Eclipse
162;Ubisoft Romania
163;The Collective
164;Blue Byte Software
165;Red Storm Entertainment
166;Ubisoft Montréal
167;Tiwark
168;Powerhead Games
169;Three Rings
