ID jeu PK FK;Support PK FK
1;Amstrad CPC
2;Atari ST
2;Amstrad CPC
2;DOS
3;Amstrad CPC
3;Atari ST
3;DOS
3;Amiga
3;Commodore 64
3;ZX Spectrum
4;Amstrad CPC
5;Amstrad CPC
5;Atari ST
5;Amiga
6;Atari ST
6;Amstrad CPC
6;DOS
7;Atari ST
7;Amstrad CPC
7;DOS
8;Amstrad CPC
9;Atari ST
9;Amstrad CPC
9;DOS
10;Atari ST
10;Amstrad CPC
10;DOS
11;Amstrad CPC
12;Amstrad CPC
13;Amstrad CPC
14;Amstrad CPC
14;Atari ST
14;Commodore 64
14;DOS
14;ZX Spectrum
15;Amiga
15;Amstrad CPC
15;Atari ST
15;Commodore 64
15;DOS
15;GX-4000
15;Lynx
15;Super Nintendo
15;ZX Spectrum
16;Atari ST
16;Amiga
16;Commodore 64
16;Amstrad CPC
16;DOS
16;ZX Spectrum
17;Atari ST
17;Amiga
17;Commodore 64
17;Amstrad CPC
17;DOS
17;ZX Spectrum
18;Amiga
18;Atari ST
18;Commodore 64
18;Amstrad CPC
18;ZX Spectrum
19;Amiga
19;Atari ST
19;Commodore 64
19;Amstrad CPC
19;ZX Spectrum
20;Amstrad CPC
20;Atari ST
21;Amiga
21;Amstrad CPC
21;Atari ST
21;Commodore 64
21;DOS
22;Amiga
22;Atari ST
22;DOS
23;Amstrad CPC
24;Amiga
24;Atari ST
24;DOS
25;DOS
25;Atari ST
25;Amiga
26;Amiga
27;Amiga
27;Atari ST
27;DOS
28;Mega Drive
28;Game Boy
28;NES
28;Amiga
28;Amstrad CPC
28;Atari ST
28;Commodore 64
28;ZX Spectrum
28;DOS
28;Game Gear
28;Master System
28;MSX
29;Super Nintendo
29;Mega Drive
29;PS1
29;Saturn
29;Game Boy
29;Amiga
29;Windows
29;DOS
30;DOS
31;Windows
31;DOS
31;Jaguar
31;PS1
31;Saturn
31;Game Boy Color
31;Gizmondo
32;DOS
32;Windows
32;PS1
33;Windows
33;Mac OS
33;ScummVM
34;Nintendo 64
35;Saturn
35;PS1
35;Windows
35;Nintendo Switch
36;Windows
37;Windows
38;Windows
39;Windows
40;Nintendo 64
41;Windows
42;Windows
42;Game Boy Color
43;Windows
43;Dreamcast
43;Game Boy Color
44;Nintendo 64
44;PS1
44;Windows
45;Windows
46;Dreamcast
46;Game Boy Color
46;Mac OS
46;Nintendo 64
46;PS1
46;Windows
47;Nintendo 64
47;PS1
